Time_ns,RMSD_A,Compound,Replicate,Efficacy_Type
45.7,3.7536848819921294,ARI,2,Partial Agonist
45.8,3.842128373089898,ARI,2,Partial Agonist
45.9,4.777565666131353,ARI,2,Partial Agonist
46.0,4.1697664113023825,ARI,2,Partial Agonist
46.1,3.7268372927789564,ARI,2,Partial Agonist
46.2,3.2988838202445563,ARI,2,Partial Agonist
46.3,3.049647574529357,ARI,2,Partial Agonist
46.4,4.7117845463504535,ARI,2,Partial Agonist
46.5,4.498042471920053,ARI,2,Partial Agonist
46.6,4.19430204283442,ARI,2,Partial Agonist
46.7,4.330910048016388,ARI,2,Partial Agonist
46.8,3.245700579944027,ARI,2,Partial Agonist
46.9,4.1514220819448955,ARI,2,Partial Agonist
47.0,4.066015493552744,ARI,2,Partial Agonist
47.1,3.72258501936208,ARI,2,Partial Agonist
47.2,4.119286884176004,ARI,2,Partial Agonist
47.3,4.82154782114117,ARI,2,Partial Agonist
47.4,4.59825587554219,ARI,2,Partial Agonist
47.5,4.515213330372202,ARI,2,Partial Agonist
47.6,4.155726759347934,ARI,2,Partial Agonist
47.7,3.4385080707672153,ARI,2,Partial Agonist
47.8,3.3144786933593817,ARI,2,Partial Agonist
47.9,3.522997627347214,ARI,2,Partial Agonist
48.0,3.6387419343189724,ARI,2,Partial Agonist
48.1,4.523421715231238,ARI,2,Partial Agonist
48.2,5.046347447334358,ARI,2,Partial Agonist
48.3,4.537292245585229,ARI,2,Partial Agonist
48.4,3.7902413052317936,ARI,2,Partial Agonist
48.5,4.310988016130434,ARI,2,Partial Agonist
48.6,4.163342351620293,ARI,2,Partial Agonist
48.7,4.273784846548024,ARI,2,Partial Agonist
48.8,3.914605013370185,ARI,2,Partial Agonist
48.9,3.6944958052514623,ARI,2,Partial Agonist
49.0,3.911671011493576,ARI,2,Partial Agonist
49.1,4.452422942687571,ARI,2,Partial Agonist
49.2,2.6128191042060838,ARI,2,Partial Agonist
49.3,3.2368063248237275,ARI,2,Partial Agonist
49.4,4.024044506451632,ARI,2,Partial Agonist
49.5,3.9575006478022474,ARI,2,Partial Agonist
49.6,3.2777651986439396,ARI,2,Partial Agonist
49.7,2.8560386508807865,ARI,2,Partial Agonist
49.8,3.657777926038013,ARI,2,Partial Agonist
49.9,4.129541032855865,ARI,2,Partial Agonist
50.0,3.779909113061849,ARI,2,Partial Agonist
50.1,3.2699729804598454,ARI,2,Partial Agonist
50.2,3.513346576162154,ARI,2,Partial Agonist
50.3,3.020706796138648,ARI,2,Partial Agonist
50.4,3.5344361017720507,ARI,2,Partial Agonist
50.5,4.3984213876139995,ARI,2,Partial Agonist
50.6,3.7684697424680147,ARI,2,Partial Agonist
50.7,3.5062026209723864,ARI,2,Partial Agonist
50.8,3.954716443298944,ARI,2,Partial Agonist
50.9,4.14993813873858,ARI,2,Partial Agonist
51.0,3.5619198679726636,ARI,2,Partial Agonist
51.1,3.4195360855116297,ARI,2,Partial Agonist
51.2,4.0124075329529205,ARI,2,Partial Agonist
51.3,3.849720200155595,ARI,2,Partial Agonist
51.4,5.096202339292528,ARI,2,Partial Agonist
51.5,4.361214977852658,ARI,2,Partial Agonist
51.6,4.853186419653164,ARI,2,Partial Agonist
51.7,4.516472360335002,ARI,2,Partial Agonist
51.8,4.309888710465325,ARI,2,Partial Agonist
51.9,4.044216572073826,ARI,2,Partial Agonist
52.0,4.245350979295035,ARI,2,Partial Agonist
52.1,5.635739871138054,ARI,2,Partial Agonist
52.2,4.190965737243095,ARI,2,Partial Agonist
